categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Aides culinaires|France Délices|Préparation pour Crème Dessert Vanille|d|Sucre de canne roux* , amidon de maïs* , extrait de vanille*, agar agar*. *Ingrédients agricoles issus de agriculture biologique|1577|0.1|62||0.1|0.09|||||||||||||||||0||E406 - Agar-agar|
Aides culinaires|Giffard|Caramel Sauce|d|Glucose syrup, sweetened condensed skim MILK, Sugar, water, salted modified starch, colouring : ordinary caramel, salt, flavour, preservative :, emulsifier : mono and diglycerides of fatty acids, acidifier : citric acid. 31) 35 % -FR - Ingrédients: Sirop de glucose, LAIT écrémé condensé sucré, sucre, eau, amidon modifié, colorant: caramel ordinaire, sel, arôme, conservateur., émulsifiant: mono et diglycérides d'acide gras, acidifiant: acide citrique caramel.' min 35 %. EN'. Production date and Best Before date : see below - To be stored in a clean, dry and cool placeopening. FR : Date de production et A consommer de préférence avant le : voir ci-dessous - A conserver dans un endroit propre, 50 et250) -A consommer de préférence 6 semaines après ouverture. Yf±jfiifi PD 2ClFl|1259|1.8|52|0.1|1.6|0.419999999999999|||||||||||||||||0|MILK, LAIT|E1422 - Adipate de diamidon acétylé,E14XX - Amidons modifiés,E150a - Caramel E150a,E330 - Acide citrique,E471 - Mono- et diglycérides d'acides gras alimentaires|
Aides culinaires|Idéal,Uni|Agent de Démoulage|e|Huile de colza, émulsifiant : lécithine de _soja_, gaz propulseur: butane/propane.|3531|94|1||1|1|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine,E943a - Butane,E944 - Propane|
Aides culinaires|Jean Larnaudie|Perles de vin de Porto|c|Préparation à base de Porto rouge 70%, sucre de canne), eau, épaississant : gomme de cellulose, gélifiants : chlorure de calcium, alginate de sodium, conservateur : sorbate de potassium|651|0.3|29.8||0.3|0.02|||||||||||||||||0|en:sulphur-dioxide-and-sulphites|E202 - Sorbate de potassium,E401 - Alginate de sodium,E466 - Carboxyméthylcellulose|
Aides culinaires|Karéléa,Léa Nature|Konjac Cuisine|a|Poudre de Konjac; fibre de chicorée.|804|0.25|0|87.5|0.75|0.127|||||||||||||||||0|||
Aides culinaires|La Bovida|Les marinades du chef Barbecue|e|Graisse végétale, sel, épices et plantes aromatiques, sucres, arômes de fumée, arômes naturels, arômes, caramel, tomate, extrait naturel de vinaigre, vinaigre de Xérès, sauce piquante, huile de tournesol|2746|66.6|9||1.1|10|||||||||||||||||0||E14XX - Amidons modifiés|
Aides culinaires|La Patelière|Poudre à lever sans phosphate|a|Bicarbonate de sodium, amidon de _blé_, tartrate monopotassique.|1201|13.5|0.01||48|0|||||||||||||||||0|en:gluten|E336 - Tartrates de potassium,E336i - Tartrate monopotassique,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|
Aides culinaires|La vie claire|Crème d orge|a|Orge|1402|2.1|1.2|8.8|11.5|0.005|||||||||||||||||0|||
Aides culinaires|Minoterie Prunault|Préparation pour brioche|c|Farine de _blé_, Sucre de canne blond, _œuf_ en poudre, Levure boulangère, Sel de guérande.|1531|4.17|21|4.33|14.2|1.2|||||||||||||||||0|blé, œuf||
Aides culinaires|Picard|Préparation pour Cocktail Piña Colada|c|Purée d'ananas 45 %, crème de coco 22 %, eau, sucre.|498|4.1|20||0.7|0.01|||||||||||||||||0|||
Aides culinaires|Sainte Lucie|Fixateur pour Crème Chantilly|c|Amidon, dextrose, gélifiant : carraghénanes, arôme.|1523|0.1|12.9||0.4|0.7|||||||||||||||||0||E407 - Carraghénanes|
Aides culinaires|Sainte Lucie|Amandin|a|_Amandes_ en poudre, farine spécifique de _blé_, arôme naturel.|1997|27|2.7|5.1|19|0||||||||||||0.124|||0.0023||0|Amandes, blé||
Aides culinaires|U|Eclats de sucre tutti frutti|d|Sucre 95%, beurre de cacao, sirop de glucose, régulateur d'acidité: acide citrique, arôme naturel, colorant: lutéine; jus concentré de sureau. Traces éventuelles de céréales contenant du gluten, de lait et de soja.|1752|3|95|0.5|0.5|0.02|||||||||||||||||0||E161b - Lutéine,E330 - Acide citrique|
Aides culinaires|U|Crayon Pâtissier Rouge|e|sirop de glucose, sucre, eau, amidon transformé de maïs, colorant: anthocyanes, épaississant: carraghénanes, acidifiant: acide citrique, sel, conservateur: sorbate de potassium. Traces éventuelles de lait, fruits à coque et de soja.|1234|0.5|50|1.2|0.5|3.3|||||||||||||||||0||E14XX - Amidons modifiés,E163 - Anthocyanes,E202 - Sorbate de potassium,E330 - Acide citrique,E407 - Carraghénanes|
Aides culinaires|U|Crayon pâtissier marron|e|Sucre, huile de palme, pâte de NOISETTE 14%, poudre de LACTOSERUM, cacao maigre en poudre 6%, émulsifiant : lécithine de SOJA, extrait de vanille.|2288|32|55|3.6|4.9|0.01|||||||||||||||||1|en:milk,en:nuts,en:soybeans|E322 - Lécithines,E322i - Lécithine|
Aides culinaires|Vahiné|Préparation pour nappage|e|Dextrose, gélifiant: pectine, acidifiant: acide citrique, épaississants: gomme guar, carraghénanes, gomme xanthane, caramel.|1377|0|72.5||0.4|2.3|||||||||||||||||0||E330 - Acide citrique,E341 - Phosphates de calcium,E341iii - Phosphate tricalcique,E407 - Carraghénanes,E412 - Gomme de guar,E415 - Gomme xanthane,E440 - Pectines,E440i - Pectine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide|
Aides culinaires|Vahiné|Fix neige sachets 3x4g|d|Sucre, épaississants : gomme guar, gomme xanthane, correcteur d'acidité : acide citrique.|1657|0|96||0|0.09|||||||||||||||||0||E330 - Acide citrique,E412 - Gomme de guar,E415 - Gomme xanthane|
Aides culinaires|Vahiné|Tant Pour Tant|d|_Amande_ en poudre 50 %, sucre glace50_%.|2117|26|50||11|0.02|||||||||||||||||0|Amande, blé||
Aides culinaires|Vahiné|Chantifix|d|Sucre, amidon modifié, gélifiant : carraghénanes, arôme|1586|0|62.6||0.1|0.37|||||||||||||||||0||E14XX - Amidons modifiés,E407 - Carraghénanes|
Aides culinaires|Vahiné,McCormick|Kit Galette des Rois Pralinée|d|Sucre, pralin, _amandes_ en poudre, _œuf_ entier en poudre, _noisette_ en poudre torréfiée, amidon modifié de maïs, _lait_ écrémé en poudre.|2205|29|49.5||14.3|0.16|||||||||||||||||0||E14XX - Amidons modifiés|
Aides culinaires|Vahiné,McCormick|Nappage Chocolat|d|Sirop de glucose-fructose, eau, poudre de cacao maigre, amidon modifié, chocolat, sel, émulsifiant : E471. arômes, correcteur d'acidité : citrate trisodique.|1125|1.3|58.7||1.7|0.57|||||||||||||||||0||E14XX - Amidons modifiés,E331 - Citrates de sodium,E331iii - Citrate trisodique,E471 - Mono- et diglycérides d'acides gras alimentaires|
Aliment-pour-enfant|Good Gout|Croustillants banane-Good Gout Kidz-110g|a|Farine de riz* 82 %, poudre de banane* 15%, sucre de canne roux clair**|1582|0.7|10.5|6.4|7.3|0.1|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Abbaye de Sept-Fons|Germe de Blé|a|Germe de _blé_* *Ingrédient d'origine agricole issu de l'agriculture biologique : 100%|1615|9.6|13|12|31|0.0499999999999999|||||||||||||||||0|blé||
Aliments et boissons à base de végétaux|Abbaye de Sept-Fons|Germafibre|a|Germe de _blé_, fibres de chicorée, fibres de pomme, _soja_, arôme naturel de pomme, arôme abricot.|1297|6.4|16|7.4|16|0.02|||0.001|||0.00018||||1e-05|||0.026||0.001||0|blé, soja||
Aliments et boissons à base de végétaux|Agidra|Arachides Sucrées|e|_Arachide_ 60 %, sucre 40 %.|2226|28|44||15|0|||||||||||||||||0|Arachide||
Aliments et boissons à base de végétaux|Alpina|Couscous|a|Semoule de _blé_ dur de qualité supérieure issu de l'agriculture biologique.|1456|2|2.5|3|11|0|||||||||||||||||0|blé||
Aliments et boissons à base de végétaux|Aptonia|Ultra fruit jellies - Cassis Acelora Pomme|d|Pulpe de fruits 50 %, sucre, sirop de glucose de blé, maltodextrine 5 %, stabilisant : glycérol, gélifiant : pectine, arôme naturel de cassis, poudre d'acérola0.4 %, vitamines : B1. B6 et B12.|1382|0.5|63||0.5|0.09|||||0.048|0.00066|||0.00084||||||||0||E422 - Glycérol,E440 - Pectines,E440i - Pectine|
Aliments et boissons à base de végétaux|Aptonia|Ultra fruit jellies cassis pomme acérola|c|pulpe de fruits 50%, sucre, sirop de glucose de blé, maltodextrine 5%, stabilisant : glycérol, gélifiant : pectine, arôme naturel de cassis, poudre d'acérola0.4%, acidifiant : acide citrique, vitamines B1. B6 et B12.|1360|0.5|63||0.5|0.09|||||||||||||||||0||E330 - Acide citrique,E422 - Glycérol,E440 - Pectines,E440i - Pectine|
Aliments et boissons à base de végétaux|Aptonia|Ultra Fruit Jellied|c|pulpe de poire William 51%, sucre, sirop de glucose de blé, stabilisant : glycérol, maltodextrine 5%, arôme naturel de poire, gélifiant : pectine, acidifiant : acide citrique, poudre d'acérola0.4%, vitamines B1. B6 et B12.|1372|0.4|64||0.4|0.09|||||||||||||||||0||E330 - Acide citrique,E422 - Glycérol,E440 - Pectines,E440i - Pectine|
Aliments et boissons à base de végétaux|Aptonia|Ultra fruit jellies pamplemousse citron orange acérola|c|pulpe de fruits 50%, sucre, sirop de glucose de blé, maltodextrine 5%, stabilisant : glycérol, gélifiant : pectine, acidifiant : acide citrique, poudre d'acérola0.4%, huile essentielle de citron, huile essentielle d'orange, vitamines B1. B6 et B12.|1389|0.5|67||0.5|0.1|||||||||||||||||0||E330 - Acide citrique,E422 - Glycérol,E440 - Pectines,E440i - Pectine|
Aliments et boissons à base de végétaux|Aptonia|Ultra Fruit Jellies fraise canneberge acérola|c|pulpe de fruits 50%, sucre, sirop de glucose de blé, maltodextrine 5%, stabilisant : glycérol, gélifiant : pectine, acidifiant : acide citrique, arôme naturel de fraise, arôme naturel de canneberge, poudre d'acérola0.4%, vitamines B1. B6 et B12.|1385||65|0|0.5|0.11|||||||||||||||||0||E330 - Acide citrique,E422 - Glycérol,E440 - Pectines,E440i - Pectine|
Aliments et boissons à base de végétaux|Auchan|Betteraves cube|a|ingrédient Betterave rouge.|180|0.5|6.7|2.3|2.3|0.13|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan|Haricot rouge|a|Haricots rouges|1243|1.2|3.5|24.9|21|0.01|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan|Double Concentré De Tomates Francaises|a|purée de tomates|397|0.4|15|0|4|0.03|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan|Pâtes de fruits|c|Pulpes de fruits : pêche : pulpes de fruits 52.5%, mûre : pulpes de fruits 53%, abricot : pulpes de fruits 35%, framboise : pulpes de fruits 52.5%, fraise : pulpes de fruits 52.5%, poire : pulpes de fruits 52.5%, sucre, sirop de glucose, gélifiant : pectine de fruits, acidifiant : acide citrique, arômes.|1445|0.6|55.8|3|0.3|0.109982|||||||||||||||||0||E330 - Acide citrique,E440 - Pectines,E440i - Pectine|
Aliments et boissons à base de végétaux|Auchan|Jeunes pousses Maxi Pack|a|Jeunes pousses de laitue verte, de laitue rouge, d'épinard.|67|0.5|0.5|1.5|1.8|0.06|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan|Soja Cuisine 5%|a|jus de _soja_ 95 %, huile de tournesol, sucre, émulsifiant : lécithine de _soja_, épaississants : gomme xanthane, carraghénanes.|285|5|1.9|0.5|3.1|0.04|||||||||||||||||0|en:soybeans|E322 - Lécithines,E322i - Lécithine,E407 - Carraghénanes,E415 - Gomme xanthane|
Aliments et boissons à base de végétaux|Auchan|Coulis Tomate de Provence|a|Purée de tomates de Provence 99.6%, sel de Camargue.|201|0.4|5.3||1.5|0.4|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan|Mogette de Vendée|a|Mogette de Vendée Label Rouge IGP|1345|1.1|2.6|19|20.6|0.01|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan|Quinoa blond du Pérou|a|100% quinoa blanc du Pérou|1569|6.6|5|10|14|0.2|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan|Maïs Pop Corn|a|Maïs|1435|4.2|0.8|11.2|7.7|0.1|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan bio,Auchan|Quinoa bio |a|100% quinoa - issu de l'agriculture biologique |1532|5.3|5.3|7.8|12.5|0.1|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auchan,Mmm!|Lentille Verte du Puy|a|Lentilles verte du Puy.|1224|1.1|2|30.5|25.8|0|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Auzier Chabernac|Pralines Rouges|e|_Amande_, sucre, sirop de glucose, eau, vanilline, colorants : E124. E122. E129. agents d'enrobage : huile blanche, paraffine et talc.|2038|20.2|58.3|4.8|9.6|0.01|||||||||||||||||0|Amande|E122 - Azorubine carmoisine,E124 - Ponceau 4R,E129 - Rouge allura AC,E553b - Talc,E905 - Paraffine|
Aliments et boissons à base de végétaux|Belle France|Coeur de laitue|a|Coeur de laitue|50|0.1|0.3|1.2|1.1|0.05|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Belle France|Coulis de Tomate |a|Purée de tomates, sel.|217|0.1|4.1|1.4|2.1|0.6096|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Belle France|Pâte brisée|d|farine de _blé_, graisses et huiles végétales, eau, sucre, alcool éthylique, sel, jus de citron concentré, colorant : béta-carotène, agent de traitement de la farine : L-cystéine.|1645|21.5|2.7|1.1|6.2|0.92|||||||||||||||||1|blé|E1510 - Éthanol,E160a - Bêta-carotène,E160ai - Bêta-carotène,E920 - L-Cystéine et ses chlorhydrates|
Aliments et boissons à base de végétaux|Belle France|Mêlée Gourmande|a|Cœur de frisée, mâche, chicorée rouge.|71|0.3|0.7||1.3|0.08|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Belle France|Pate Sablee Etal.230G Bf,|d|farine de _blé_, matière grasse végétale, sucre, eau, alcool éthylique, sel, jus de citron concentré.|1803|22|17.3|1|5.3|0.3|||||||||||||||||1|blé|E1510 - Éthanol,E160 - Caroténoïdes|
Aliments et boissons à base de végétaux|Bio Village,Marque Repère|Boulgour courgettes cranberries et menthe|b|_Boulgour_ fin cuit* 49 %; courgettes* 16 cranberries* 9.8 %; huile de tournesol* ; eau ; persil* 3.5 % ; vinaigre d'alcool* ; menthe* 2.1% ; sel ; sucre blond* ; jus de citron concentré* 0.5% ; _moutarde_ de Dijon*; épaississant : gomme xanthane ; poivre blanc*.|657|7.8|9|4.6|2.5|1.2|||||||||||||||||0|Boulgour, blé, moutarde, moutarde|E415 - Gomme xanthane|
Aliments et boissons à base de végétaux|Bio Village,Marque Repère|Boulgour|a|Boulgour de _blé_ dur précuit issu de l'agriculture biologique|1439|1.9|1.1|7.4|12|0.05|||||||||||||||||0|blé||
Aliments et boissons à base de végétaux|Biocoop|Lentilles Vertes|a|lentilles vertes*, eau, sel de Guérande.  *Ingrédient Issu de l'agriculture|406|0.7|1.2|4.4|7.8|0.4|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Biothentic|Graines de courge|c|Graines de courge* *Issues de l'agriculture biologique.|2339|49|1.4|4|6|0.05|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Biothentic|Pois Chiches Bio|a|Pois chiches*. *Issus de l'agriculture biologique.|1523|6|11|10|19|0.0610000000000001|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Biothentic|Quinoa bio|a|INGREDIENW Quinoa*. *Issu de l'agriculture biologique. Risques de traces de gluten, de fruits à coques, de sésame, de lait et d'oeuf.|1565|6|2|7|13|0.053|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Bjorg|Avoine façon risotto aux légumes|a|Gruau d'avoine précuit 35.4%, riz rond complet précuit 19.7%, eau, petits légumes 19.3%, huile d'olive, farine complète de riz, bouillon de légumes.|657|3.2|0.1|3.2|4.9|0.762|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Bjorg|Soja cuisine fluide Bio|b|Tonyu*, huile de colza*, sirop de blé*, huile de tournesol*, émulsifiant lécithines*épaississants gomme guar, gomme xanthane; sel marin, arômes naturels, antioxydant: extrait riche en tocophérols. Pourcentage exprimé sur produit fini. *Ingrédients biologiques.|699|16|2|1.1|2.7|0.14|||||||||||||||||0|en:soybeans|E306 - Extrait riche en tocophérols,E322 - Lécithines,E412 - Gomme de guar,E415 - Gomme xanthane|
Aliments et boissons à base de végétaux|Bjorg|Céréales & Légumes secs - Orge, Épeautre, Pois cassés|a|_Orge_ précuit 35 %, _épeautre_ précuit 27 %, lentilles vertes décortiquées précuites 20 %, lentilles rouges décortiquées 10 %, pois cassés précuits 10 %.|1356|1.3|1.7|8.2|14|0.03|||||||||||||||||0|Orge, épeautre||
Aliments et boissons à base de végétaux|Bjorg|Céréales et légumes secs, blé riz et lentilles|a|_Blé_ dur précuit 50%, riz long basmati 27%, lentilles rouges décortiquées 10%, riz long complet rouge 10%, lin doré 3%.|1509|1.3|1|4.9|11.3|0|||||||||||||||||0|Blé||
Aliments et boissons à base de végétaux|Bjorg|Soja Gratin Bio|b|*Tonyu, *farine de blé, *huile de tournesol oléique, *amidon de blé, émulsifiant : lécithine de tournesol, sel marin, *noix de muscade, épaississants : gomme guar et gomme xanthane, arôme naturel de poivre, arôme naturel de noix de muscade. |414|6.5|1.2|0.7|3.5|0.5|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine,E412 - Gomme de guar,E415 - Gomme xanthane|
Aliments et boissons à base de végétaux|Bjorg|Les Délicieux Palets soja à l'indienne|a|Soja* 42.6%, eau, riz* complet 10.9%, patates douces* 5.9%, crème de riz*, huile de tournesol*, oignons*, noix de coco* râpée, coriandre*, épices*, sel marin, épaississant : gomme arabique|615|7.2|0.5|4.6|8.3|0.9|||||||||||||||||0||E414 - Gomme d'acacia|
Aliments et boissons à base de végétaux|Bjorg|Mes Galettes Nature Bio|a|flocons d'avoine complet, son d'avoine, flocons de sarrasin complet, flocons de riz complet|1547|5.3|1.1|6.3|11.3|0.0025|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Bjorg|Soja Cuisine semi-épais sans gluten|b|Tonyu), huile de colza, huile de tournesol, sirop de blé, émulsifiant : lécithines, stabilisants : gomme guar et gomme xanthane, sel marin, arômes naturels, antioxydant : extrait riche en tocophérols.|795|18|2.5|1.1|3.5|0.18|||||||||||||||||0|soja|E306 - Extrait riche en tocophérols,E322 - Lécithines,E412 - Gomme de guar,E415 - Gomme xanthane|
Aliments et boissons à base de végétaux|Bonduelle|Tomates mi-séchées|b|Tomates mi-séchées 68%, huiles végétales, sucre, sel, ail, plantes aromatiques, conservateur : E202. antioxydant : E300|1387|31.7|2.4||3.1|0.4|||||||||||||||||0||E202 - Sorbate de potassium,E300 - Acide ascorbique|
Aliments et boissons à base de végétaux|Bongran|Galettes de riz de Camargue Multicéréales|a|riz de camargue complet*, riz de camargue semi complet*, mélange de céréales 6%, sésame complet* 2%, sel de mer, émulsifiant : lécithine de tournesol, * issu de l'agriculture biologique|1619|1.4|0.4|1.9|9.2|0.28|||||||||||||||||0|en:gluten,en:sesame-seeds|E322 - Lécithines,E322i - Lécithine|
Aliments et boissons à base de végétaux|Bongran|Galettes de riz de Camargue sans sel|a|Riz complet 50 % et semi complet de Camargue, émulsifiant : lécithine de tournesol.|1642.2|2.33|0.65|3.2|7.33|0.0127|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine|
Aliments et boissons à base de végétaux|Bongran|Galettes de riz de Camargue Complet|a|riz complet bio de Camargue 50%, riz semi complet bio de Camargue, sel de mer, émulsifiant|1619|1.3|0.4|1.8|8.8|0.36|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine|
Aliments et boissons à base de végétaux|Bonneterre|Galette de Riz Sandwich Noisettes Cacao|d|Riz complet*, Sucre de Canne*, Huile de palme*, Pâte de noisettes*, poudre de sirop de riz*, poudre de cacao*, Sel marin, Arôme naturel de vanille*. * Ingrédients agricoles issus de l'Agriculture Biologique.|1937|18.2|2.7|3|6|0.15|||||||||||||||||1|||
Aliments et boissons à base de végétaux|Bonneterre|Lentille Verte Du Puy AOP|a|Lentilles vertes.|1409|1.7|1|11|24|0.01|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Borde|Panier forestier|a|Mélange forestier séché.|977|5.8|1.4||17|0.1|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Brake|Salade de Fruits Saison 5 Fruits|a|Mélange de 5 fruits en proportion variable 70 %, eau, sirop de glucose/fructose-saccharose, conservateur : E202. acidifiant : E330.|250|0.2|12.9|1.1|0.4|0.005|||||||||||||||||0||E202 - Sorbate de potassium,E330 - Acide citrique|
Aliments et boissons à base de végétaux|Brousse Vergez|Aiguillettes Citrons Confits|c|Écorces de citron, sirop de glucose-fructose, saccharose, correcteur d'acidité: E330. conservateur : _Anhydride sulfureux_.|1209|0|59.7||0.23|0.26|||||||||||||||||0|Anhydride sulfureux, sulfites|E220 - Anhydride sulfureux,E330 - Acide citrique|
Aliments et boissons à base de végétaux|Carrefour|Couscous Blé complet|a|Semoule complète de blé dur.|1525|2|3|6|13|0|||||||||||||||||0|blé||
Aliments et boissons à base de végétaux|Carrefour|Pois cassés|a|Pois cassés verts.|1402|1|3.9|13|20|0.02|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour|Pâte feuilletée|d|Farine de _blé_ 47.5%, graisses végétales, eau, alcool éthylique, sel, jus de citron concentré, agent de traitement de la farine : L-cystéine, colorant : caroténoïdes.|1695|24|1.5||5.4|0.88|||||||||||||||||1|en:gluten|E1510 - Éthanol,E160 - Caroténoïdes,E920 - L-Cystéine et ses chlorhydrates|
Aliments et boissons à base de végétaux|Carrefour|Couscous Grain Fin|a|Semoule de blé dur de qualité supérieure.|1464|1.5|3|3|12|0.01|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour|Mélange de légumes Carrefour|a|Eau, pousses de haricot mungo, épis de maïs coupés, pousses de bambou, vinaigre d'alcool, sucre, sel, antioxydant : acide ascorbique.|82|0.3|1.8|1.9|1.5|0.508|||||||||||||||||0||E300 - Acide ascorbique,E330 - Acide citrique|
Aliments et boissons à base de végétaux|Carrefour|Semoule de blé spéciale  Dessert|a|Contient du gluten.|1526|2|2|3|12|0|||||||||||||||||0|blé||
Aliments et boissons à base de végétaux|Carrefour|Pâtes  de fruits|c|Pulpes de fruits : abricot : pulpes de fruits 53%*, mûre : pulpes de fruits 53%*, poire : pulpes de fruits 52.5%*, sucre, sirop de glucose, gélifiant : pectines, acidifiant : acide citrique, arômes naturels de fruitsavec autres arômes naturels. * Pourcentage mis en œuvre pour chaque parfum.|1416|0|63|1.2|0|0.13|||||||||||||||||0||E330 - Acide citrique,E440 - Pectines|
Aliments et boissons à base de végétaux|Carrefour|Mâche|a|Mâche.|8|0|0||0|0.5|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour|Macédoine|a|Légumes 60% :, eau, sel.|159|0.5|1.1|3.4|2.1|0.7|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour|Lingots blancs|a|Haricots lingots blancs.|1247|1.8|2.2|18|21|0.05|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour|Couscous aux épices|c|Semoule de blé dur précuite 93.7%, épices 2.4%, sel, extrait de levure, poivron rouge, oignon, huile de tournesol, ail, arômes.|1586|3.1|2.6|5.3|15|2|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour|Lentilles Vertes|a|Lentilles vertes précuites.|1188|0.9|0.7|27|24|0.04|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour|Quinoa|a|Quinoa blond issu de l'agriculture biologique.|1527|6.8|4|7.6|15|0.001|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour Bio|Marrons glacés|c|Marrons bio, sucre de canne bio, sirop de glucose-fructose bio, gousse de vanille bio.|1321|0.9|51|3.1|0.9|0.03|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Carrefour Bio,Carrefour|Pate feuilletée|d|Farine de blé, margarine végétale, eau, alcool éthylique, vinaigre de cidre, gluten de blé, sucre de canne, sel, levure.|1602|21|3.3|2|5.8|1.1|||||||||||||||||1|en:gluten|E1510 - Éthanol|
Aliments et boissons à base de végétaux|Carrefour Sélection,Carrefour|Marrons glacés au Cognac|d|Marrons, sucre, sirop de glucose, Cognac, gousse de vanille.|1349|0.9|46|3|0.9|0.04|||||||||||||||||0|||
